# z phi vxP vxF T
4.104485776805251451e-02 6.136503112233356871e-01 9.341010570840787902e-04 2.459399708239838871e-03 1.329439549011006228e-05
4.124507658643326163e-02 6.135620915498506411e-01 9.741378721885383257e-04 2.143781160056189641e-03 1.373822136733878791e-05
4.144529540481400182e-02 6.135265308385947636e-01 1.015768625369543269e-03 1.944488591128037654e-03 1.419931052983563455e-05
4.164551422319474894e-02 6.135491804588312226e-01 1.059047700392330748e-03 1.952242099831685103e-03 1.467766379090239188e-05
4.184573304157548912e-02 6.135870983262534661e-01 1.104067532330933916e-03 2.496920864715765267e-03 1.517478831638305660e-05
4.204595185995623624e-02 6.136300449818070657e-01 1.150925208227253490e-03 4.764602882665958279e-03 1.569127306427299843e-05
4.224617067833697642e-02 6.136858470791972664e-01 1.199642849349706565e-03 9.054212224581845159e-03 1.622792682434614762e-05
4.244638949671772354e-02 6.137342789680546584e-01 1.250323848988120056e-03 1.494539511108285840e-02 1.678575181802119848e-05
4.264660831509846373e-02 6.137568949527412165e-01 1.303058621539569546e-03 2.083324781079090582e-02 1.736548624285808151e-05
4.284682713347921085e-02 6.137303578609810684e-01 1.358023099204967677e-03 2.480353157167437469e-02 1.796830110310037749e-05
4.304704595185995797e-02 6.136509959651422763e-01 1.415348425165046048e-03 2.562316424855361208e-02 1.859632027347690782e-05
4.324726477024069815e-02 6.135034986899150500e-01 1.475053580665850296e-03 2.309175268056400110e-02 1.925009419004709930e-05
4.344748358862144527e-02 6.132740075666340829e-01 1.537315665761762812e-03 1.809968394777201894e-02 1.993007734314597730e-05
4.364770240700218545e-02 6.129363890422910854e-01 1.602310714386950222e-03 1.235371056658354956e-02 2.063924576497341883e-05
4.384792122538293258e-02 6.124966469621893062e-01 1.670320278549478933e-03 7.675356289144367669e-03 2.138183760707564231e-05
4.404814004376367276e-02 6.119858155834920765e-01 1.741416286309205698e-03 4.874761019165408001e-03 2.216057604000644377e-05
4.424835886214441988e-02 6.114557398838738056e-01 1.815755083406142513e-03 3.598857214687006464e-03 2.297803781620056217e-05
4.444857768052516006e-02 6.109277528116933142e-01 1.893493821416276143e-03 3.327594867345864092e-03 2.383526576445308914e-05
4.464879649890590718e-02 6.104250100801601464e-01 1.974758039751349850e-03 3.165377920319182442e-03 2.473422902523289172e-05
4.484901531728664736e-02 6.099767946375816985e-01 2.059638028728492595e-03 3.040746009512493644e-03 2.567581442052469973e-05
4.504923413566739449e-02 6.096176146418796904e-01 2.148286005045154951e-03 3.361261928031836644e-03 2.666322256936597495e-05
4.524945295404814161e-02 6.093436578002331405e-01 2.240760447782442696e-03 5.219906872290502702e-03 2.769558933624763418e-05
4.544967177242888179e-02 6.091225384433887058e-01 2.337181442826405126e-03 9.261504285084773760e-03 2.877543671394268277e-05
4.564989059080962891e-02 6.089279419568263130e-01 2.437633657098911555e-03 1.508777723126081098e-02 2.990293299040575425e-05
4.585010940919036909e-02 6.087737329268055886e-01 2.542216483312652840e-03 2.135188322414312626e-02 3.107989296041837522e-05
4.605032822757111621e-02 6.086537149351723963e-01 2.651120998825676114e-03 2.610428060608455461e-02 3.230775567881530693e-05
4.625054704595185640e-02 6.085490220572441489e-01 2.764581416160954552e-03 2.789944162862961763e-02 3.358752588917802523e-05
