#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
130   0.507102E+00   0.325833E+03   0.198149E+02   0.116149E-17  -0.233008E-02   0.174073E-05   0.510221E-21  -0.987787E-02  -0.732223E+00
131   0.514237E+00   0.330418E+03   0.198599E+02  -0.562292E-18  -0.234903E-02  -0.100763E-04  -0.716662E-20  -0.975503E-02  -0.724413E+00
132   0.521404E+00   0.335023E+03   0.199045E+02   0.530071E-18  -0.242277E-02  -0.218820E-04  -0.178685E-21  -0.963225E-02  -0.716600E+00
133   0.528603E+00   0.339649E+03   0.199488E+02   0.135062E-18  -0.255050E-02  -0.332317E-04   0.129673E-19  -0.951074E-02  -0.708780E+00
134   0.535834E+00   0.344295E+03   0.199927E+02  -0.204207E-18  -0.272929E-02  -0.433870E-04  -0.280569E-20  -0.939047E-02  -0.700956E+00
135   0.543096E+00   0.348961E+03   0.200363E+02   0.116613E-17  -0.294938E-02  -0.501281E-04   0.526622E-20  -0.927082E-02  -0.693138E+00
136   0.550389E+00   0.353647E+03   0.200794E+02  -0.175450E-17  -0.318881E-02  -0.510005E-04   0.927029E-20  -0.915095E-02  -0.685335E+00
137   0.557711E+00   0.358352E+03   0.201222E+02  -0.389245E-18  -0.341938E-02  -0.462784E-04  -0.397641E-20  -0.902915E-02  -0.677558E+00
138   0.565064E+00   0.363076E+03   0.201646E+02  -0.729464E-18  -0.362072E-02  -0.387525E-04  -0.373542E-20  -0.890490E-02  -0.669815E+00
139   0.572445E+00   0.367819E+03   0.202065E+02   0.183698E-17  -0.378624E-02  -0.312754E-04  -0.917092E-22  -0.878014E-02  -0.662115E+00
140   0.579855E+00   0.372580E+03   0.202480E+02   0.175559E-18  -0.392207E-02  -0.264261E-04   0.207054E-20  -0.865671E-02  -0.654463E+00
141   0.587293E+00   0.377359E+03   0.202891E+02  -0.536035E-18  -0.404546E-02  -0.259540E-04  -0.270355E-20  -0.853546E-02  -0.646861E+00
142   0.594759E+00   0.382156E+03   0.203297E+02  -0.774980E-18  -0.417603E-02  -0.287883E-04  -0.923059E-22  -0.841734E-02  -0.639306E+00
143   0.602252E+00   0.386971E+03   0.203700E+02  -0.643100E-19  -0.432246E-02  -0.318197E-04  -0.123785E-20  -0.830189E-02  -0.631796E+00
144   0.609771E+00   0.391802E+03   0.204098E+02   0.193224E-18  -0.447939E-02  -0.326870E-04   0.185963E-21  -0.818621E-02  -0.624327E+00
145   0.617317E+00   0.396651E+03   0.204492E+02  -0.961939E-18  -0.463469E-02  -0.310454E-04   0.101138E-19  -0.806746E-02  -0.616896E+00
146   0.624888E+00   0.401515E+03   0.204882E+02  -0.659198E-18  -0.477958E-02  -0.285952E-04   0.425997E-20  -0.794485E-02  -0.609502E+00
147   0.632484E+00   0.406396E+03   0.205267E+02   0.172590E-18  -0.491551E-02  -0.273844E-04  -0.189139E-20  -0.781916E-02  -0.602144E+00
148   0.640105E+00   0.411293E+03   0.205646E+02  -0.545172E-18  -0.504929E-02  -0.273330E-04   0.599645E-20  -0.769152E-02  -0.594822E+00
149   0.647750E+00   0.416205E+03   0.206021E+02   0.183523E-18  -0.518361E-02  -0.273512E-04  -0.198283E-20  -0.756247E-02  -0.587538E+00
150   0.655419E+00   0.421133E+03   0.206390E+02   0.492010E-18  -0.531929E-02  -0.279175E-04   0.548898E-21  -0.743243E-02  -0.580302E+00
151   0.663110E+00   0.426075E+03   0.206754E+02   0.139587E-17  -0.546145E-02  -0.298110E-04   0.356318E-21  -0.730273E-02  -0.573130E+00
152   0.670824E+00   0.431031E+03   0.207113E+02   0.777010E-18  -0.561538E-02  -0.322990E-04   0.881346E-20  -0.717444E-02  -0.566041E+00
153   0.678561E+00   0.436002E+03   0.207467E+02   0.855179E-18  -0.578192E-02  -0.347276E-04   0.397229E-20  -0.704727E-02  -0.559051E+00
154   0.686318E+00   0.440987E+03   0.207815E+02   0.536594E-18  -0.596236E-02  -0.379086E-04   0.314539E-20  -0.692078E-02  -0.552168E+00
155   0.694097E+00   0.445985E+03   0.208158E+02   0.417459E-18  -0.616362E-02  -0.429866E-04  -0.452378E-20  -0.679498E-02  -0.545398E+00
156   0.701896E+00   0.450996E+03   0.208495E+02   0.168905E-18  -0.639599E-02  -0.499896E-04  -0.264603E-20  -0.666974E-02  -0.538742E+00
157   0.709715E+00   0.456020E+03   0.208827E+02  -0.896318E-18  -0.666624E-02  -0.575086E-04   0.290517E-20  -0.654521E-02  -0.532200E+00
158   0.717554E+00   0.461057E+03   0.209153E+02  -0.307931E-18  -0.697239E-02  -0.637346E-04  -0.126554E-20  -0.642140E-02  -0.525770E+00
159   0.725411E+00   0.466106E+03   0.209475E+02   0.143785E-17  -0.730528E-02  -0.677276E-04  -0.757701E-20  -0.629655E-02  -0.519450E+00
160   0.733287E+00   0.471166E+03   0.209790E+02  -0.641017E-18  -0.765264E-02  -0.690627E-04   0.542029E-21  -0.616764E-02  -0.513240E+00
161   0.741181E+00   0.476238E+03   0.210099E+02  -0.120344E-17  -0.799942E-02  -0.670773E-04   0.162002E-20  -0.603280E-02  -0.507145E+00
162   0.749092E+00   0.481322E+03   0.210402E+02  -0.599063E-18  -0.832772E-02  -0.615426E-04   0.218683E-21  -0.589249E-02  -0.501173E+00
163   0.757020E+00   0.486415E+03   0.210699E+02  -0.905764E-18  -0.862101E-02  -0.532594E-04  -0.363940E-20  -0.574839E-02  -0.495332E+00
164   0.764964E+00   0.491520E+03   0.210989E+02  -0.180200E-17  -0.886849E-02  -0.436142E-04   0.565178E-21  -0.560130E-02  -0.489630E+00
165   0.772924E+00   0.496634E+03   0.211271E+02   0.596352E-18  -0.906695E-02  -0.341404E-04  -0.267240E-20  -0.545048E-02  -0.484076E+00
166   0.780899E+00   0.501759E+03   0.211547E+02   0.110163E-17  -0.922007E-02  -0.258303E-04   0.613111E-21  -0.529543E-02  -0.478675E+00
167   0.788888E+00   0.506892E+03   0.211814E+02  -0.144551E-17  -0.933315E-02  -0.182381E-04  -0.381987E-21  -0.513638E-02  -0.473431E+00
168   0.796892E+00   0.512035E+03   0.212074E+02   0.251552E-18  -0.940635E-02  -0.100343E-04   0.849710E-20  -0.497310E-02  -0.468348E+00
169   0.804910E+00   0.517187E+03   0.212326E+02   0.110344E-19  -0.943416E-02  -0.572412E-06  -0.803074E-20  -0.480541E-02  -0.463435E+00
170   0.812940E+00   0.522347E+03   0.212570E+02  -0.887219E-19  -0.941094E-02   0.959532E-05  -0.735069E-20  -0.463402E-02  -0.458698E+00
171   0.820983E+00   0.527514E+03   0.212805E+02  -0.979479E-18  -0.933593E-02   0.192256E-04  -0.122125E-19  -0.445915E-02  -0.454144E+00
172   0.829038E+00   0.532690E+03   0.213031E+02   0.220415E-18  -0.921515E-02   0.270798E-04   0.216271E-20  -0.428012E-02  -0.449775E+00
173   0.837105E+00   0.537873E+03   0.213248E+02  -0.723117E-18  -0.905919E-02   0.327693E-04  -0.487702E-20  -0.409723E-02  -0.445595E+00
